preset	params	elo score (chat)	elo score (instruct)	elo score (all)	matches (chat)	matches (instruct)
random_preset_045	5	955.6757906112025	935.0773267150771	945.3765586631398	29	38
random_preset_040	5	948.8541227144352	1010.4566033116743	979.6553630130547	31	23
NovelAI-Ouroboros	3	947.62917824149	1106.459431694905	1027.0443049681976	33	33
random_preset_009	7	947.6047268061938	1008.1196040102868	977.8621654082403	28	27
random_preset_094	4	943.4741047955722	950.088141777594	946.7811232865831	32	29
random_preset_083	5	943.2673672704078	866.1097309595967	904.6885491150023	24	34
random_preset_137	6	943.2169013223969	1024.4872993304377	983.8521003264173	37	26
random_preset_154	4	940.2333169110502	990.7435997411164	965.4884583260833	28	21
random_preset_080	5	940.2266504946366	1038.0381702599773	989.132410377307	26	22
random_preset_034	5	936.0889278397651	940.015497020534	938.0522124301496	36	28
random_preset_030	4	933.6572291937613	886.7780100487001	910.2176196212307	32	28
random_preset_081	5	932.126853982066	800.6031475986184	866.3650007903423	32	29
NovelAI-Lycaenidae	4	928.248935752478	928.823606968742	928.53627136061	20	30
random_preset_165	5	924.2476434079498	1029.0375226838835	976.6425830459166	26	18
random_preset_052	4	923.6936213615577	799.3183314786869	861.5059764201224	27	30
random_preset_031	4	922.5945238860496	964.6104618325861	943.6024928593179	38	25
random_preset_067	5	920.5865292878289	1097.7630153372497	1009.1747723125393	36	23
random_preset_085	4	914.8408570613323	762.2898182314256	838.5653376463789	25	31
random_preset_024	5	910.0136343717694	936.4255309166073	923.2195826441883	26	29
random_preset_151	5	906.6472693613782	1002.4295782318368	954.5384237966075	24	16
epsilon	2	903.12749198263	1006.9075509023797	955.0175214425049	33	30
random_preset_037	6	902.6714772223546	1059.9166533421162	981.2940652822354	26	33
random_preset_043	5	900.5052451043176	839.9171191871282	870.2111821457229	32	24
Special-Contrastive Search-1	3	899.7205727080627	851.8635177853589	875.7920452467108	16	10
random_preset_032	6	894.4975510066502	863.7808480352288	879.1391995209394	24	35
random_preset_070	8	894.4546373983957	908.3703600815783	901.412498739987	35	35
random_preset_090	6	891.664293080339	825.1974146126591	858.4308538464991	35	28
random_preset_193	4	891.6036930946362	1004.474655768649	948.0391744316426	28	22
random_preset_014	6	890.1394469117381	897.7916326128505	893.9655397622944	32	28
random_preset_095	4	889.1456848835087	1008.4470355025946	948.7963601930517	29	28
random_preset_047	7	888.8683745356095	853.6031286784723	871.2357516070409	24	32
random_preset_048	4	886.0497910227652	958.6936058552134	922.3716984389894	35	23
random_preset_036	4	881.9746265265318	786.3519192245465	834.1632728755392	22	26
random_preset_060	4	873.1127026004707	1004.8784381928351	938.995570396653	26	24
random_preset_144	7	872.3613303645602	908.2055346095441	890.2834324870521	30	16
random_preset_117	4	871.3016348722089	905.6180484856252	888.459841678917	31	18
random_preset_055	5	869.9907478549811	852.4314641904691	861.2111060227251	23	32
random_preset_021	5	867.7087056366056	901.2743258533148	884.4915157449602	27	26
random_preset_010	6	867.5421286198153	940.322284562377	903.9322065910962	36	29
random_preset_051	5	865.9186402638846	931.5856019038573	898.752121083871	29	29
random_preset_058	6	861.5019187963642	1033.4846337404986	947.4932762684314	34	27
random_preset_100	5	859.5059596295952	950.9499556209079	905.2279576252515	35	21
random_preset_093	5	855.7866021108478	756.635823307512	806.2112127091799	28	36
